percentile,threshold,auto_label_rate,prompt_rate,auto_label_accuracy
5,0.11680189425788387,0.050411522633744855,0.9495884773662552,0.9693877551020408
10,0.12983269590866872,0.10030864197530864,0.8996913580246914,0.9794871794871794
15,0.14181436440332484,0.15020576131687244,0.8497942386831275,0.9794520547945206
20,0.15534893051887033,0.2001028806584362,0.7998971193415638,0.9794344473007712
25,0.173135285839786,0.25,0.75,0.977366255144033
30,0.19355433094724178,0.29989711934156377,0.7001028806584362,0.9794168096054888
35,0.21469869339896133,0.35030864197530864,0.6496913580246914,0.9779735682819384
40,0.23882538878993406,0.4002057613168724,0.5997942386831275,0.9717223650385605
45,0.27421066893935153,0.45010288065843623,0.5498971193415638,0.9657142857142857
50,0.31709470525718914,0.5,0.5,0.9588477366255144
55,0.36992246806660656,0.5498971193415638,0.45010288065843623,0.9541627689429373
60,0.4351225713720816,0.5997942386831275,0.4002057613168724,0.9502572898799314
65,0.5322023113819445,0.6496913580246914,0.35030864197530864,0.9390340459224069
70,0.6413876757416184,0.7001028806584362,0.29989711934156377,0.9316678912564291
75,0.7491044768957836,0.75,0.25,0.9156378600823045
80,0.8362723845766934,0.7998971193415638,0.2001028806584362,0.9009646302250803
85,0.937559196674101,0.8497942386831275,0.15020576131687244,0.8813559322033898
90,1.053255297773421,0.8996913580246914,0.10030864197530864,0.8644939965694682
95,1.2199318111677302,0.9495884773662552,0.050411522633744855,0.8466955579631636
